"","step","mean_vegetation_volume","max_bird","dispersal_distance","habitat_radius","count_turtles","mean_habitat_of_patches"
"231172",1000,2.2,4,2,1,363.1,32.2759637188209
"232173",1000,2.4,4,2,1,425.6,35.5884353741497
"233174",1000,2.6,4,2,1,417.4,35.0761904761905
"234175",1000,2.8,4,2,1,482.6,39.3383219954649
"235176",1000,3,4,2,1,490.6,39.9319727891156
"236177",1000,3.2,4,2,1,513.3,41.0126984126984
"237178",1000,3.4,4,2,1,530.8,42.1571428571429
"238179",1000,3.6,4,2,1,563.1,44.0156462585034
"239180",1000,3.8,4,2,1,558.6,43.9748299319728
"240181",1000,4,4,2,1,577.2,45.3081632653061
"241182",1000,4.2,4,2,1,595.9,46.4369614512472
"242183",1000,4.4,4,2,1,609.1,46.6174603174603
"243184",1000,4.6,4,2,1,625.9,48.0705215419501
"244185",1000,4.8,4,2,1,618.3,47.908843537415
"245186",1000,5,4,2,1,640,48.784126984127
"246187",1000,2,5,2,1,564,34.9748299319728
"247188",1000,2.2,5,2,1,570.5,35.4489795918367
"248189",1000,2.4,5,2,1,602.4,37.4453514739229
"249190",1000,2.6,5,2,1,683.6,41.3471655328798
"250191",1000,2.8,5,2,1,701.1,42.1931972789116
"251192",1000,3,5,2,1,731.6,43.8578231292517
"252193",1000,3.2,5,2,1,744.7,44.7263038548753
"253194",1000,3.4,5,2,1,785.1,46.3705215419501
"254195",1000,3.6,5,2,1,790,46.5848072562358
"255196",1000,3.8,5,2,1,808.7,47.9383219954649
"256197",1000,4,5,2,1,816.6,48.1206349206349
"257198",1000,4.2,5,2,1,836.6,48.5678004535147
"258199",1000,4.4,5,2,1,847.7,49.7321995464853
"259200",1000,4.6,5,2,1,850,49.7185941043084
"260201",1000,4.8,5,2,1,872.6,50.3573696145125
"261202",1000,5,5,2,1,859.2,50.2367346938776
"262203",1000,2,6,2,1,796.2,39.2634920634921
"263204",1000,2.2,6,2,1,843.7,41.159410430839
"264205",1000,2.4,6,2,1,860.7,42.421768707483
"265206",1000,2.6,6,2,1,875.1,42.8843537414966
"266207",1000,2.8,6,2,1,911.3,43.8839002267574
"267208",1000,3,6,2,1,909.9,44.1684807256236
"268209",1000,3.2,6,2,1,925.8,44.7229024943311
"269210",1000,3.4,6,2,1,932.4,45.2151927437642
"270211",1000,3.6,6,2,1,962.7,46.0748299319728
"271212",1000,3.8,6,2,1,965.6,46.3993197278912
"272213",1000,4,6,2,1,998.8,48.2133786848073
"273214",1000,4.2,6,2,1,984.5,47.0616780045351
"274215",1000,4.4,6,2,1,1026.8,49.1020408163265
"275216",1000,4.6,6,2,1,1043,49.6968253968254
"276217",1000,4.8,6,2,1,1051.2,49.9138321995465
"277218",1000,5,6,2,1,1055.1,50.1673469387755
"278219",1000,2,7,2,1,953.7,39.3836734693878
"279220",1000,2.2,7,2,1,957.9,39.9274376417234
"280221",1000,2.4,7,2,1,1001.6,41.1378684807256
"281222",1000,2.6,7,2,1,1049.6,42.884126984127
"282223",1000,2.8,7,2,1,1090.5,44.5106575963719
"283224",1000,3,7,2,1,1105.3,45.0394557823129
"284225",1000,3.2,7,2,1,1128.6,45.39410430839
"285226",1000,3.4,7,2,1,1148.1,46.3675736961451
"286227",1000,3.6,7,2,1,1156.6,47.0609977324263
"287228",1000,3.8,7,2,1,1202.2,48.2959183673469
"288229",1000,4,7,2,1,1216.5,48.8691609977324
"289230",1000,4.2,7,2,1,1232.2,49.502947845805
"290231",1000,4.4,7,2,1,1228.9,49.5299319727891
"291232",1000,4.6,7,2,1,1280.7,51.3526077097506
"292233",1000,4.8,7,2,1,1270.1,51.2022675736961
"293234",1000,5,7,2,1,1301.7,51.5566893424036
"294235",1000,2,8,2,1,1147.7,39.8857142857143
"295236",1000,2.2,8,2,1,1215.1,41.9072562358277
"296237",1000,2.4,8,2,1,1262,43.5517006802721
"297238",1000,2.6,8,2,1,1290.9,44.6768707482993
"298239",1000,2.8,8,2,1,1302,45.0612244897959
"299240",1000,3,8,2,1,1328.1,45.6394557823129
"300241",1000,3.2,8,2,1,1350.3,46.327664399093
"301242",1000,3.4,8,2,1,1366.1,46.7662131519274
"302243",1000,3.6,8,2,1,1369,47.6106575963719
"303244",1000,3.8,8,2,1,1428,48.5848072562358
"304245",1000,4,8,2,1,1427.3,48.7793650793651
"305246",1000,4.2,8,2,1,1448.4,49.5784580498866
"306247",1000,4.4,8,2,1,1442,49.4707482993197
"307248",1000,4.6,8,2,1,1453.9,49.8501133786848
"308249",1000,4.8,8,2,1,1486.2,50.7315192743764
"309250",1000,5,8,2,1,1502,50.9795918367347
"310251",1000,2,9,2,1,1340.8,41.2755102040816
"311252",1000,2.2,9,2,1,1334.6,41.408843537415
"312253",1000,2.4,9,2,1,1385.8,42.4816326530612
"313254",1000,2.6,9,2,1,1448.3,44.0759637188209
"314255",1000,2.8,9,2,1,1417.9,43.7551020408163
"315256",1000,3,9,2,1,1497.8,46.092970521542
"316257",1000,3.2,9,2,1,1480.5,45.6369614512472
"317258",1000,3.4,9,2,1,1530.4,46.9192743764172
"318259",1000,3.6,9,2,1,1548.3,47.1746031746032
"319260",1000,3.8,9,2,1,1593.9,48.5013605442177
"320261",1000,4,9,2,1,1594.6,48.7777777777778
"321262",1000,4.2,9,2,1,1643.5,49.6961451247166
"322263",1000,4.4,9,2,1,1665.8,50.2632653061224
"323264",1000,4.6,9,2,1,1655.6,50.38820861678
"324265",1000,4.8,9,2,1,1700.3,51.615873015873
"325266",1000,5,9,2,1,1698.1,51.6571428571429
"326267",1000,2,10,2,1,1456.9,39.765306122449
"327268",1000,2.2,10,2,1,1545.7,42.1054421768708
"328269",1000,2.4,10,2,1,1596,42.6736961451247
"329270",1000,2.6,10,2,1,1632.1,44.2380952380952
"330271",1000,2.8,10,2,1,1683,45.1705215419501
"331272",1000,3,10,2,1,1712.8,46.0503401360544
"332273",1000,3.2,10,2,1,1747.8,47.362358276644
"333274",1000,3.4,10,2,1,1786.5,48.0800453514739
"334275",1000,3.6,10,2,1,1813.6,48.5997732426304
"335276",1000,3.8,10,2,1,1797.1,48.5390022675737
"336277",1000,4,10,2,1,1807.5,49.1249433106576
"337278",1000,4.2,10,2,1,1815.6,48.8004535147392
"338279",1000,4.4,10,2,1,1906.5,50.8163265306122
"339280",1000,4.6,10,2,1,1885.7,50.4589569160998
"340281",1000,4.8,10,2,1,1899.7,50.7061224489796
"341282",1000,5,10,2,1,1945.8,51.7303854875283
"342283",1000,2,11,2,1,1667.3,41.4351473922902
"343284",1000,2.2,11,2,1,1744.9,43.0770975056689
"344285",1000,2.4,11,2,1,1765.2,43.3743764172336
"345286",1000,2.6,11,2,1,1811,44.7829931972789
"346287",1000,2.8,11,2,1,1875.1,46.0775510204082
"347288",1000,3,11,2,1,1866.1,45.8369614512472
"348289",1000,3.2,11,2,1,1929.7,47.3222222222222
"349290",1000,3.4,11,2,1,1910.3,47.128798185941
"350291",1000,3.6,11,2,1,1978.5,47.9975056689342
"351292",1000,3.8,11,2,1,2027,49.2800453514739
"352293",1000,4,11,2,1,2052.1,49.9863945578231
"353294",1000,4.2,11,2,1,2099.6,51.1918367346939
"354295",1000,4.4,11,2,1,2094.2,50.7625850340136
"355296",1000,4.6,11,2,1,2113.5,51.2678004535147
"356297",1000,4.8,11,2,1,2120.8,51.4324263038549
"357298",1000,5,11,2,1,2124.9,51.5480725623583
"358299",1000,2,12,2,1,1823.1,41.1498866213152
"359300",1000,2.2,12,2,1,1939.8,42.9768707482993
"360301",1000,2.4,12,2,1,1981.5,44.1208616780045
"361302",1000,2.6,12,2,1,2012.1,45.2428571428571
"362303",1000,2.8,12,2,1,2038,45.5072562358277
"363304",1000,3,12,2,1,2101.6,46.502947845805
"364305",1000,3.2,12,2,1,2095.7,46.7024943310658
"365306",1000,3.4,12,2,1,2180.8,48.1852607709751
"366307",1000,3.6,12,2,1,2172.4,48.3265306122449
"367308",1000,3.8,12,2,1,2205.3,49.0664399092971
"368309",1000,4,12,2,1,2205.7,49.2226757369614
"369310",1000,4.2,12,2,1,2296.2,50.6648526077097
"370311",1000,4.4,12,2,1,2307.4,51.1340136054422
"371312",1000,4.6,12,2,1,2336.8,51.6938775510204
"372313",1000,4.8,12,2,1,2314.4,51.0702947845805
"373314",1000,5,12,2,1,2380.9,52.3215419501134
"374315",1000,2,13,2,1,2027.7,42.0786848072562
"375316",1000,2.2,13,2,1,2038,42.1907029478458
"376317",1000,2.4,13,2,1,2148.3,44.2655328798186
"377318",1000,2.6,13,2,1,2260.5,46.4489795918367
"378319",1000,2.8,13,2,1,2265.2,46.4544217687075
"379320",1000,3,13,2,1,2281.7,46.6814058956916
"380321",1000,3.2,13,2,1,2317.1,47.5113378684807
"381322",1000,3.4,13,2,1,2319.1,47.5269841269841
"382323",1000,3.6,13,2,1,2371.6,48.4913832199546
"383324",1000,3.8,13,2,1,2407.6,49.0539682539683
"384325",1000,4,13,2,1,2399.1,49.4873015873016
"385326",1000,4.2,13,2,1,2507.3,51.1471655328798
"386327",1000,4.4,13,2,1,2484,50.6528344671202
"387328",1000,4.6,13,2,1,2538.5,51.7424036281179
"388329",1000,4.8,13,2,1,2525.4,51.569387755102
"389330",1000,5,13,2,1,2575.8,52.4238095238095
"390331",1000,2,14,2,1,2209.5,42.0888888888889
"391332",1000,2.2,14,2,1,2249.1,43.0582766439909
"392333",1000,2.4,14,2,1,2290.2,43.4517006802721
"393334",1000,2.6,14,2,1,2339.2,44.2575963718821
"394335",1000,2.8,14,2,1,2334.6,44.6573696145125
"395336",1000,3,14,2,1,2478,46.7886621315193
"396337",1000,3.2,14,2,1,2475.1,46.8616780045352
"397338",1000,3.4,14,2,1,2497.5,47.2582766439909
"398339",1000,3.6,14,2,1,2593,49.1659863945578
"399340",1000,3.8,14,2,1,2627.4,49.3151927437642
"400341",1000,4,14,2,1,2677.6,50.3442176870748
"401342",1000,4.2,14,2,1,2646.5,49.8848072562358
"402343",1000,4.4,14,2,1,2685,50.5854875283447
"403344",1000,4.6,14,2,1,2746,51.4743764172336
"404345",1000,4.8,14,2,1,2736.7,51.4641723356009
"405346",1000,5,14,2,1,2720.8,51.1482993197279
"406347",1000,2,15,2,1,2444.2,42.9022675736961
"407348",1000,2.2,15,2,1,2452.7,43.2609977324263
"408349",1000,2.4,15,2,1,2551.7,44.928798185941
"409350",1000,2.6,15,2,1,2604.4,45.7326530612245
"410351",1000,2.8,15,2,1,2632.1,46.5750566893424
"411352",1000,3,15,2,1,2648.4,46.4380952380952
"412353",1000,3.2,15,2,1,2671.6,46.7646258503401
"413354",1000,3.4,15,2,1,2756.5,48.1507936507937
"414355",1000,3.6,15,2,1,2779.5,48.491156462585
"415356",1000,3.8,15,2,1,2825,49.3215419501134
"416357",1000,4,15,2,1,2834.6,49.6512471655329
"417358",1000,4.2,15,2,1,2902.2,50.6877551020408
"418359",1000,4.4,15,2,1,2917.2,50.9975056689342
"419360",1000,4.6,15,2,1,2927,51.2097505668934
"420361",1000,4.8,15,2,1,2942,51.5324263038549
"421362",1000,5,15,2,1,2943.5,51.6684807256236
"422457",1000,3.8,2,3,1,12,13.4716553287982
"423458",1000,4,2,3,1,6,14.8820861678005
"425046",1000,4.4,2,3,1,21.5,16.8650793650794
"426047",1000,4.6,2,3,1,9.5,12.8922902494331
"427048",1000,4.8,2,3,1,33.25,19.2137188208617
"428049",1000,5,2,3,1,43,20.092970521542
"429140",1000,2.4,3,3,1,98.8333333333333,18.5903250188964
"430141",1000,2.6,3,3,1,113.555555555556,20.082136558327
"431142",1000,2.8,3,3,1,178.666666666667,26.1234567901235
"432143",1000,3,3,3,1,202.4,28.071201814059
"433144",1000,3.2,3,3,1,263.5,33.9401360544218
"434145",1000,3.4,3,3,1,286.9,36.8358276643991
"435146",1000,3.6,3,3,1,314.6,38.8859410430839
"436147",1000,3.8,3,3,1,362.6,42.8605442176871
"437148",1000,4,3,3,1,374.2,43.8045351473923
"438149",1000,4.2,3,3,1,406.9,46.5185941043084
"439150",1000,4.4,3,3,1,416,47.6832199546485
"440151",1000,4.6,3,3,1,421.7,47.6972789115646
"441152",1000,4.8,3,3,1,422.5,48.1578231292517
"442153",1000,5,3,3,1,438.5,49.0954648526077
"443154",1000,2,4,3,1,326.5,28.4982993197279
"444155",1000,2.2,4,3,1,386.9,32.7192743764172
"445156",1000,2.4,4,3,1,459.3,37.9145124716553
"446157",1000,2.6,4,3,1,471.4,38.2802721088435
"447158",1000,2.8,4,3,1,481.9,39.2151927437642
"448159",1000,3,4,3,1,502.8,40.4927437641723
"449160",1000,3.2,4,3,1,516.4,41.2621315192744
"450161",1000,3.4,4,3,1,550.2,42.8020408163265
"451162",1000,3.6,4,3,1,559.2,43.2174603174603
"452163",1000,3.8,4,3,1,566,44.2916099773243
"453164",1000,4,4,3,1,590.3,46.0324263038549
